Meet Meeting 
Mon, Aug 19, 2024

0:00 - Jorge Lewis Oh, I see. Place.
2:29:08 - Jorge Lewis But you see, he's done these code questions, so he was thinking recursive function, binary tree, binomal ethereal.

2:29:17 - Jonas Lindberg The thing is, if he used that because that was a solution he had in his head, great. But if he used a recursive function over a for loop, which he would have done better, if that's the scenario, then it's kind of bad. But I'm guessing just because he does those code questions and that, the recursive function was just natural to him.

2:29:44 - Jorge Lewis And just as long as I prompt the question in his head, Because what's default to him is the recursive functions. But we should be promoting the critical thinking where should I be doing this or this? That's all we have to do. We can let him do the rest. And that's like classes. Should I be using a class or should I not?

2:30:03 - Jonas Lindberg Play devil's advocate there. That's not where critical thinking matters. That's where like, if I, if I like, that's the reason I've never used recursive functions because like, to me, it's always using a recursive function. The only purpose would be to make it fancier, to make it prettier because I can achieve everything I need to with for loops. And those were great. I've never needed recursive functions. I've tried them out.

2:30:34 - Jorge Lewis like there hasn't been scenarios where Yeah, how no we've had to have made a recursive function, but just not realize like we've had to know we've we've had like We just I don't want to think that I've made a

2:30:54 - Jonas Lindberg recursive function once and it was in a recursive function tutorial and You see where I'm coming from, like, I don't know if that's where we need to promote critical thinking because then they'll be hung up and should I use a for loop here or a poster function? Well, you should just use what's natural. Like it doesn't matter.

2:31:15 - Jorge Lewis They do that. That thought process will become natural at a point where it's like, should I make a class or not? Um, yeah. And there's, Sometimes it's conscious, sometimes it's subconscious, where you have reasons, you're like, okay, I've reused this thing three times and I want to make it on property, I want to add a function to it.

2:31:37 - Jonas Lindberg I think for that kind of question, what it really comes down to is which will be easiest to implement, which do I think will be the best one to work with in the future, and which one do I want to learn more about. For me, If I want to use the class in TypeScript, I know I'm going to be slower. I don't know if it's going to be easier to work with in the future. So it's likely going to be because I wanted to learn how to use classes more.

2:32:06 - Jorge Lewis You know, I've never made, I've made like probably one class in TypeScript.

2:32:10 - Jonas Lindberg Yeah. It's like, you don't need them.

2:32:13 - Jonas Lindberg You don't really need passes at all, you just need objects.

2:32:19 - Jonas Lindberg Objects and then you just hammer out the object until it's in the correct form. You don't need to attach the functions to the object. Like, yeah, that's the whole thing with functional programming. Oh yeah, we've got a lot left of the video.

2:32:33 - Jorge Lewis The next one is big premature optimization. Oh.

2:32:40 - Jorge Lewis Everything else is just a special case of those two things. It's possible that I'm being a little bit overly reductive here, but in this case, I don't really think so, because I can make my code scalable or write it to eliminate security vulnerabilities, and it still might be bad code if it's hard to maintain or offers a poor user experience. So if you fix all of these things, is the code good now? Well, maybe, maybe not. To achieve good code, our code needs to fix all of these.

2:33:11 - Jorge Lewis I don't know how true this is, but it's just a thought. How do you know what is maintainable? That's like, we're talking about the future. How do you know the future? Like if we're talking about a, like you just don't like, or at least in all of my experiences, like for rest, there would be no way.

2:33:30 - Jonas Lindberg Or I think there are tools which objectively keep things more maintainable.

2:33:39 - Jonas Lindberg Yeah, like for example using...

2:33:40 - Jonas Lindberg Code localized to where it's used. Like instead of using a utils.ts folder where you dump every single function, keep the functions where they're used. That just makes it more maintainable.

2:33:53 - Jorge Lewis Yeah, like also using JSON in a database versus its own columns. Like these small things, but it's...

2:34:04 - Jorge Lewis It's a very small example where it's just something we learn over time. Like if you see someone using a utils function and putting it in its own file, you'd tell them, hey, you're using this twice. Just, I don't know, just kind of put it in the code maybe.

2:34:21 - Jonas Lindberg Yeah, I think those things like Making that bad code into good code isn't more effort though. It's just I have more experience now. The effort was learning.

2:34:36 - Jorge Lewis It's all just coming down to experience. Good code, there's no good code or bad code. It's just experienced, like experienced and not experienced.

2:34:50 - Jonas Lindberg I think that's the realization we're coming to.

2:34:53 - Jonas Lindberg It's not that ugly code is good code or beautiful code is good code. It's just, it'll be what you're most experienced with. Like if we told B was to make the most beautiful codes, it wouldn't even be close to what our bad code is, if that makes sense. It's hard to pinpoint the statement, you know.

2:35:18 - Jorge Lewis It's I feel like we could make a can we be able to concisely summarize what we have now into probably like three different rules where it's like, okay, yeah, it needs to accomplish the task. But it relies on, like it just there's something we have something here now we have we have like an idea that we're trying to get to which is it all comes down to your experience and it's just there's we've discussed a lot of good things and we just now need to figure out a way to articulate and that's always the hardest part these things, and depending on the context, probably several more not listed here.

2:36:00 - Jonas Lindberg If uptime matters a lot to my business, I was asking the same thing.

2:36:12 - Jonas Lindberg If you get one week to do something, and you make it one time each day, compared to if you're trying to make the perfect thing over the whole week, which will give the best outcome.

2:36:24 - Jorge Lewis Yeah, and I was thinking of like could we try the experiment with like our developers to we should we tell them spend three hours Making one code and do that three times versus making one project like we have has nine chin may be west nazif And me five developers. Let's say three make three of them spend one full day making a project and then two of them make three small projects, and then at the end of it, ask them to make a new project. Just the similar study that they did, but with code. I wonder how that would do. But we'd have to do it, it'd have to be in something totally new, like a new language, a new everything, so that everyone is, so that I could obviously, we need to do it at scale probably. Maybe we could try that study out sometime, as just a fun, interesting thing. Cause it's, it's something like that can prove a good point.

2:37:25 - Jonas Lindberg The thing about it is. If you did the like projects just quickly once you wouldn't learn error handling, you wouldn't learn type handling. You'd just use any across all of them because you're doing free quick projects. You don't have time to go.

2:37:40 - Jorge Lewis So, like I said earlier, when did I learn that?

2:37:43 - Jonas Lindberg Because I've always, I've always seen the vector inside of ourselves, which kind of just goes, Hey, this is something that was a good time.

2:37:51 - Jonas Lindberg Yeah.

2:37:55 - Jorge Lewis Hey, Junduz has nagged me enough about this. Maybe I should learn this.

2:38:05 - Jonas Lindberg But yeah, like what made me nag to you about using any and not nag to you about your horrible file structures, for example?

2:38:20 - Jonas Lindberg Like, I was trying to pick something that I haven't even gone into. Like, when I look at your code, I just immediately go, bruh, Annie, bruh, horrible error handling. I don't care what the code does. These two things can be improved.

2:38:40 - Jorge Lewis Is it also when I experience the problem of that bad code, like when I'm not logging, typing an error, do I experience the problem that is solved by typing things? That I'm like, oh, typing would solve this.

2:39:03 - Jorge Lewis When did I realize types were good? Because before this, before TypeScript, I was, I didn't like types. I liked my Python dynamic types. I was like, huh, statically typed types. Come on.

2:39:17 - Jonas Lindberg Why would I not want to make my industry when you type like a profile dot and then the whole list of things that could be. Yeah.

2:39:27 - Jonas Lindberg Yeah.

2:39:27 - Unidentified Speaker So.

2:39:29 - Jorge Lewis Because now I can very clearly explain to someone why I use TypeScript and not, or why I use types and not use types. But it's, I think it's just from experience, but it's, there has to be something that I can say where it's like, because this, so I started using types, like, because I've seen this error. So I started using types, but I don't think there is like, so this is where you tried it out and you liked it.

2:39:54 - Unidentified Speaker Okay.

2:39:56 - Jorge Lewis Yeah. So this is where it'd be helpful. Just documenting where you just really get to understand what happened in the thought process. So like with starting business, if I wanted to do another one, I would not be able to understand why we, and I learned this thing without documenting it through the process. Like I right now understand why I use types, but I don't understand how I got here.

2:40:26 - Jorge Lewis Anyways, let's, it's already 3am.

2:40:29 - Jorge Lewis Resilience may be a much more important defining characteristic.

2:40:33 - Jonas Lindberg Yeah, I think so. Going over the, there's quite a lot left to go over. If we want to, yeah, if we want to go into like proper conversations, like we have been instead of just speed running the rest, I think it's best with a part two.

2:40:52 - Jorge Lewis Maybe we've discussed enough so that I can write a script.

2:40:58 - Jorge Lewis It's never going to be perfect. My video that I'm going to publish tomorrow night, I am by no means proud, if anything but

2:41:09 - Jorge Lewis of my video I made on Monday and edited it since a couple of days ago. Shots are way overexposed. The frame rates aren't matching.

2:41:26 - Jorge Lewis The audio is so terrible. But it's not a matter of making that perfect. It's just I'm going to publish that and publish the next one better than that. So with this video, and I don't know if you've realized this yet, but when you watch your YouTubers, you don't remember their first video. You remember what you're watching now. Um, like your first videos, no one will remember, like your friends and people will remember because like, Oh, you know, or how do I explain it? So I don't want to share this video I'm going to make with my, my friends from high school because they're going to be like, Oh wow, this guy sucks. You know? And At some point, they're not my audience anyways, but at some point, my real audience is never going to see my first few videos. The real people that are going to be watching me every day.

2:42:17 - Jonas Lindberg But I think it's important for yourself to upload it still, because then when you publish your next video, who you should be comparing yourself to is yourself.

2:42:25 - Jorge Lewis Is that previous video.

2:42:26 - Jonas Lindberg Exactly. You shouldn't be comparing yourself to other videos.

2:42:30 - Jorge Lewis I take it down when I post a better one.

2:42:33 - Jonas Lindberg Don't even take it down, just keep it working up and be able to compare to yourself in the past rather than comparing yourself to other YouTubers.

2:42:40 - Jorge Lewis Well, I mean, just in terms of like more technically, you probably want to archive it or at least private it because just it represents your image.

2:42:50 - Unidentified Speaker Yeah.

2:42:53 - Jonas Lindberg Also being able to show yourself improve over time is good though.

2:42:59 - Jorge Lewis I think that's done other ways. I don't know. But who cares?

2:43:02 - Jonas Lindberg So no one's going to look back at your old ones.

2:43:11 - Jorge Lewis So the only person that's going to notice how you improved over time is your long-term fans, which if they're long-term fans, you don't, they don't need the other, the older videos published and yourself and yourself.

2:43:23 - Jonas Lindberg People that go, Hmm, I wonder how this guy was in his beginning. And then they can be like, amazing. Like, wow, he, he, he came from this, but what's the term glow up.

2:43:40 - Jorge Lewis He glowed up.

2:43:47 - Jorge Lewis At the cost of sacrificing your professional or your high quality image though.

2:43:54 - Jonas Lindberg Does it? I wouldn't see that as a negative.

2:44:02 - Jorge Lewis That's interesting, yeah. Like for example one person that I watch when like every video he posts is this guy called Daniel Dallin Which I realized His the person managing his social media like his whole thing Is a person that I watched like for a long long time, and it's this guy. He's like 17 years old He's been doing social media for like a long time And I was like there's no way like it just feels like it's so weird that type of circle But anyways, I need to meet this guy by the way. Let me send you this video or his channel. He lives in Hong Kong And he's the fastest growing entrepreneur right now on YouTube.

2:44:37 - Unidentified Speaker Wow.

2:44:37 - Jorge Lewis He's about to reach a hundred K.

2:44:39 - Jonas Lindberg How do you measure that?

2:44:42 - Jorge Lewis Um, well it's very obvious.

2:44:47 - Jorge Lewis He's like his, his, his iconic, um, or, or his thumbnail is iconic. His POV thumbnail.

2:45:01 - Jorge Lewis You might have seen it actually around. Yeah, like where he just puts the letters POV in white on his thumbnails. And everyone has been using it.

2:45:13 - Jonas Lindberg Yeah.

2:45:16 - Jonas Lindberg Yeah, he lives in Stockholm.

2:45:19 - Jonas Lindberg Are we doing part two later?

2:45:25 - Jorge Lewis Part two, if necessary. I'm gonna... See what I can write from all we have here.

2:45:32 - Jonas Lindberg Yeah, we can do like make little, yeah, if you're interested in watching the next of this guy's video, links in the description.

2:45:44 - Jonas Lindberg Since we ain't finishing it today.

2:45:48 - Jorge Lewis Yeah. So I'm gonna see what I can, I can muster up in a script. If I can explain, I hate making these videos because I want to make it so perfect that I don't want anything to be wrong. Like I don't want to be like, But it's just like things you have to publish.

2:46:05 - Jonas Lindberg It's painfully close to what we've been discussing today. Like the bad code versus good code. You just gotta do it like many times and then that'll be more valuable than doing it once.

2:46:19 - Jorge Lewis But perfect. Yeah. Like I can republish, I can remake this video and the third time it'll take me three hours to make rather than 20. That's an exaggeration, but like, because I understand the point of view, like the script's already going to be there. I'm just going to refine it and I'm just going to edit this. I I'm going to, I'm not doing the editing myself, but anyways.

2:46:42 - Jorge Lewis Yeah.

2:46:44 - Jorge Lewis Yeah. Okay. Yeah. A little B was yeah.

2:46:49 - Unidentified Speaker Yeah. Yeah...

2:46:53 - Jorge Lewis Is anyone on? Will's been on the whole day today, by the way. Oh, okay. Yeah. Been nice. And I got two updates from him today. That's the most I've ever gotten. Ever.

2:47:08 - Jonas Lindberg Did you have a talk with him?

2:47:10 - Jorge Lewis Uh, no.

2:47:12 - Jonas Lindberg No? No?

2:47:13 - Unidentified Speaker Okay.

2:47:15 - Jorge Lewis To do... He added me, but he didn't add me.

2:47:21 - Jorge Lewis Yeah, he did at Jorge, but it wasn't like my profile.

2:47:29 - Jonas Lindberg I guess that's it then. Better get going to sleep.

2:47:36 - Jorge Lewis I've been having some crazy dips between, you'll see this in my video tomorrow, I talked about it, between five and seven, which is the time I work out. So I've started doing, which I mean, I have been trying to do this and you probably know from the start, getting back to Hong Kong, I don't want to be waking up as like at 12. I want to be waking up at least at 10. That's already late. Normal people wake up around 8. Exactly. 10 is already like bruh.

2:48:20 - Jorge Lewis And it's not only what's the social stigma, but it's like the actual physical things, like your body is already shaking.

2:48:30 - Jonas Lindberg I have to get up at 5.30am to Tuesday.

2:48:37 - Jorge Lewis For what?

2:48:39 - Jonas Lindberg I have to go to the DLT and get my printed license. The driver's license. I've only got like temporary papers at the moment.

2:48:51 - Jorge Lewis I got a thumbs up from the Huberman. You know Huberman? Andrew Huberman?

2:48:57 - Jorge Lewis No.

2:48:58 - Jorge Lewis Nay.

2:49:03 - Jonas Lindberg Baddest names. It'll be nice to have first driver's license though, in hand. Card I can travel with too. Like I can travel in hand now without passport or everything. Just driver's license.

2:49:20 - Jonas Lindberg Interesting.

2:49:20 - Unidentified Speaker Yeah.

2:49:23 - Jonas Lindberg It's like a full on like Thai passport basically or passport just for Thailand.

2:49:31 - Jorge Lewis That's the Andromeda I sent you in your PM.

2:49:34 - Jonas Lindberg I see. The Guardian says wellness bro, which is like the people I, I avoid. So yeah.

2:49:41 - Jorge Lewis No, he, he is the only wellness bro I will listen to. Oh my mama.

2:49:48 - Jorge Lewis This guy's a, he's a goat. I mean, you know, Lex Freeman, right?

2:49:58 - Jonas Lindberg No.

2:50:00 - Jorge Lewis Oh, bro.

2:50:01 - Jonas Lindberg Oh, yeah, I do. I got it in three years.

2:50:05 - Jorge Lewis Yeah, man, this this Andrew human is like the he has this podcast of relating to health. I watched like three episodes back like a few years ago. I'm just not a big podcast guy. I don't know.

2:50:22 - Jorge Lewis But yeah, his content is great. But anyways, I watched a summary video made by this third party dude. And it was, he said, at least sleep well for 80% of your nights. And for the rest of the nights, at least have a good reason.

2:50:39 - Jorge Lewis Because before, I would stress so much about getting my sleep every single night that it would make my sleep actually worse. And it would make me just like not... Live happily. So now that he said at least 80% of your life, I can spend one night a week with bad sleep and at least I'll be okay.

2:50:58 - Jonas Lindberg Maybe, but it's like, if you listen to the doctors, they say, like, one hour miss takes, or what is it? Yeah, one hour miss takes seven days to get back. He is the doctor.

2:51:11 - Jorge Lewis He's the, one of the leading guys on the whole, well, besides Matthew Walker, on like the whole sleep thing.

2:51:20 - Jonas Lindberg Okay.

2:51:26 - Jonas Lindberg So are you supposed to wake up at the same time the next day just for less hours or? I don't know.

2:51:33 - Jorge Lewis I think it's just the most realistic thing to do. Like not stress. Like 80% one day a week is pretty realistic. Like that's like, Oh, you're going out with your friends or you're just, that's pretty realistic. Like one day you have, you sleep two hours later. I don't know. Just.

2:51:52 - Jonas Lindberg I'd like to know if I should wake up the same time or if I should wake up two hours later.

2:51:59 - Jorge Lewis That's what I've wondered. So tonight, should I wake up later and then the next day you you Like, the normal time? Or should I wake up at the same time and cut the sleep?

2:52:12 - Jorge Lewis Like, which one's better?

2:52:13 - Jonas Lindberg Yeah, because I've always heard that you should always wake up at the same time when you go to bed, can vary, but always wake up at the same time. That's what I've heard. Your like mind clock singles in on that time no matter when you go to sleep your mind will just wake you up at the correct time and that's how you're supposed to work.

2:52:34 - Jorge Lewis I'll send you the video I watched it was like a very concise I think it was four minute or I mean I put on what speed but it was just yeah the wake-up time is the most important but I have another question is Does your wake up time also depend on like a 90 minute cycle? Like, can I move it around within maybe not 90 minutes? I think, I don't think so, but like 20 minutes, like a 30 minutes.

2:52:57 - Jonas Lindberg It is the 90-minute cycle, but from my experience, before I was obsessed about the 90-minute cycle, I always changed my alarm to match with when I went to sleep plus 30 minutes. But what I realized was that when I set my alarm to the same time every morning, no matter what part of the cycle I'm in, my body just goes, well, that's it. I wake up consistently like 20 minutes before my alarm.

2:53:25 - Jorge Lewis I'll send you the video I watched. It has a good explanation. Each of your cells has its own timer. It's interesting. I want to I mean, I'll probably end up waking up later than usual. But just so you know, for most days, I probably want to be waking up at least at 10. I want to see with Chinmay if we can schedule times throughout the day to catch up so I can wake up at maybe nine.

2:53:46 - Unidentified Speaker But yeah.

2:53:49 - Jonas Lindberg By the way, what do you think about when your body just naturally wakes up consistently, like 15, 20 minutes before you're alone?

2:53:55 - Jorge Lewis I haven't gotten, some days I, I usually never wake up before my alarm or if I do, I force myself back to sleep. But since I've gotten back to Hong Kong, I've done that like a couple of times and that's like super shocking to me. I'm like, wait a minute, what? Like I just, I just, I woke up and I felt rested and I was like, wait, what time is it? Yeah, I'm 30 minutes before. All right, let's just start the day. Usually I'm like, no, I need my sleep. And I go back to sleep. Like, but it's just, Yeah. See, that's the problem where I get where it's just like, I need, I need the sleep. And then you, you just.

2:54:36 - Jonas Lindberg I've heard of it. Like when you, when you wake up and it's like less than an hour before your alarm, you should just get up because it's. Yeah.

2:54:46 - Jorge Lewis But I don't have my alarm or my phone next to my, or a clock next to my bed. So I have to wake up to stand up and that's already got me woken up. So I usually just, if I wake up before, I'm like, no, it's not time. Go back to sleep. I should probably fix that. Bro, I can't wait for my optic fiber. A thousand megabits per second. Inshallah. I could go to 2,500. You're like about to maybe move out the second you get there.

2:55:24 - Jorge Lewis I mean, I could stay here for as long as I want, I think. So, well, maybe not as long as I want, but at least for a little bit. Like, even if your parents leave?

2:55:32 - Jonas Lindberg You just keep the house warm?

2:55:33 - Jorge Lewis Like, they'd probably let me stay here for like a month. And then they'd be like, okay, we need to start pulling some rent from it.

2:55:42 - Jorge Lewis But even then, the next two weeks, or like, they're going to decide, I think, in two weeks. So I'll have like a month, if they're going to be here for a month. So I'll have at least a month of just, a gigabyte per second speed. Oh man.

2:55:57 - Jonas Lindberg It's never truly one gigabyte. It's like slightly lower always.

2:56:02 - Jorge Lewis Yeah. But like comparing that to my 20 megabits per second download and my 0.5 megabits upload. I felt like that.

2:56:14 - Jonas Lindberg This is so bad in Hong Kong.

2:56:16 - Jorge Lewis It's no, it's cause I'm using 5g and it's like, We're just, we're, we have trees next to me. So it's like, it's not like it's reaching anything.

2:56:24 - Jonas Lindberg Yeah, but how is there no fiber in the whole thing? Like your pipe looks like Thailand, right? Like, or it looks like Southeast Asia.

2:56:32 - Jorge Lewis It does. The optic fiber is running through the the telephone poles and it just took them so long to do it because They were just lazy like the company was just lazy. They were like Seeds because it's their their offices aren't where we are. So they have to send someone out and do it But now enough people called them saying hey, we need optic fiber. We need cable. Oh So now our entire village, if you pay attention, there's cables running everywhere and it looks so bad if you notice.

2:57:07 - Jonas Lindberg It's the same thing here in Thailand. There's all like thousands of cables.

2:57:14 - Jorge Lewis But those are power cables. Isn't that even uglier? That's worse, that's worse.

2:57:22 - Jorge Lewis But I guess Thailand is like the third world, so Hong Kong is one of the richest cities in the world.

2:57:30 - Jonas Lindberg Is your village, like, does it even compare to how rich the actual city is?

2:57:36 - Jorge Lewis The real estate, no. The people, yes. Because it's the most quiet area. Where do rich retired people want to go? Not the city.

2:57:49 - Jonas Lindberg Fair enough. But the real estate, how's it?

2:57:52 - Unidentified Speaker Cheap?

2:57:54 - Jorge Lewis Um, it's about like 1.2 per house mill. And then like, uh, 4,500 month rent for our house. That's what we'd be listing it at.

2:58:10 - Jonas Lindberg That's 4,000. Okay.

2:58:11 - Jorge Lewis I heard 450 when I was like, Look what I got got my little I actually got all my equipment sent from Amazon a couple days ago got my light Just charging now this tripod. It's a beast What else that's it?

2:58:34 - Jonas Lindberg Why would you want it to bend that much? Like I feel like from tripod, I'd want it to not bend that much so that I know it's like correct. Does that make sense? If it bends that much, I'm relying on my, me, myself getting it level.

2:58:50 - Jorge Lewis So, so for example, if I want to hook it up on those bars up here, I can like wrap it around and then get a nice aerial view. Or if I want to hook it up to my monitor up top, like I just literally just bang.

2:59:07 - Jonas Lindberg It's just up, you can like hook it.

2:59:09 - Jorge Lewis That's the benefit. Yeah. Like, like it's just there already, like done. And then I can fine tune it on my phone. I have the grid lines and like the, what do you call it? Like the things that tell me if it's aligned or not.

2:59:25 - Jorge Lewis But like it's just it's just and and I can use it as like a stick as well or what do you call it? Selfie stick just bang I Do have normal tripods as well. I've got the full-size one here These are all from like before by the way, they're just sitting in the house and I have this from Antopia this trusty boy I Think that one's made its debut already a couple of times on my channel I But this thing I'm in love like it's just I slot my phone in and then although I'm this was a bad idea. My phone has MagSafe which it's a magnet so it sticks instead of this annoying thing where I have to put it in.

3:00:07 - Jorge Lewis Anyways.

3:00:10 - Jonas Lindberg Yeah. Guess that's it though. Gotta get out of this thing.

3:00:14 - Jorge Lewis Yes sir. Our whole team is going to be on tomorrow and we're going to be like helping out like three in the afternoon. Hey good morning guys.

3:00:23 - Jonas Lindberg Hey, it ain't too late for me. I'm like, gonna be an hour late to sleep.

3:00:29 - Jorge Lewis Yeah, I'm already too...

3:00:31 - Jonas Lindberg probably gonna be. If we think about it in UTC though, we both should be waking up around the same time. Because we're going to sleep at the same time.

3:00:46 - Jorge Lewis Oh, wow.

3:00:49 - Jorge Lewis Look at the white balancing it does on my face.

3:00:52 - Unidentified Speaker Okay.

3:00:54 - Jonas Lindberg Oh, wow. Yeah, you just got more information.

3:00:58 - Jorge Lewis Wow, that's very impressive. I'm learning all about this thing on my phone. I've got the Blackmagic cam app.

3:01:07 - Jorge Lewis Man, this camera, I'm just... Every time I think about that this was worth $1,300, I'm like, wow. But then I realized how much value I've gotten out of it with just work and everything. It's like, yes, that's worth it. And soon, in a month or two, they'll release their AI features, and I'll be able to use them on this phone. All right, let's go get our PC. I'll see you later. Thanks for your time. See you later. Bye. Bye-bye.
